delegado;memoria;tiempo
delegado 1: ;0.0;2.52472717E8
delegado 0: ;0.0;2.52543422E8
delegado 3: ;0.0;1.01533806E8
delegado 2: ;0.0;1.03247545E8
delegado 4: ;0.0;1.0182711E8
delegado 5: ;0.0;1.07736081E8
delegado 6: ;0.0;1.03504276E8
delegado 7: ;0.0;9.4367509E7
delegado 8: ;5.5;1.00985235E8
delegado 9: ;5.5;1.02722378E8
delegado 10: ;5.5;9.9278811E7
delegado 11: ;5.5;1.01792732E8
delegado 12: ;5.5;9.9940998E7
delegado 13: ;5.5;1.02499049E8
delegado 14: ;5.1;9.5599723E7
delegado 15: ;5.1;1.04874731E8
delegado 16: ;5.1;1.01876847E8
delegado 17: ;5.1;9.5670672E7
delegado 18: ;5.1;9.2640361E7
delegado 19: ;5.1;9.3212826E7
delegado 20: ;5.9;9.452184E7
delegado 21: ;5.9;9.7317119E7
delegado 22: ;5.9;1.06259326E8
delegado 23: ;5.9;1.03355552E8
delegado 24: ;5.9;1.00569052E8
delegado 25: ;5.9;8.9957479E7
delegado 26: ;4.0;9.6001278E7
delegado 27: ;4.0;9.7034055E7
delegado 28: ;4.0;1.18242083E8
delegado 29: ;4.0;9.9313188E7
delegado 30: ;4.0;1.00582461E8
delegado 31: ;4.0;9.9729127E7
delegado 32: ;3.9;1.03874379E8
delegado 33: ;3.9;1.04003599E8
delegado 34: ;3.9;1.00828953E8
delegado 35: ;3.9;9.8250422E7
delegado 36: ;3.9;9.7785477E7
delegado 37: ;3.9;9.9794956E7
delegado 38: ;2.7;9.9651109E7
delegado 39: ;2.7;9.6743678E7
delegado 40: ;2.7;1.03329952E8
delegado 41: ;2.7;1.03550113E8
delegado 42: ;2.7;9.9821044E7
delegado 43: ;2.7;9.8362818E7
delegado 44: ;3.8;1.02181853E8
delegado 45: ;3.8;1.01234652E8
delegado 46: ;3.8;1.01336808E8
delegado 47: ;3.8;9.9166415E7
delegado 48: ;3.8;9.4317284E7
delegado 49: ;3.8;9.5098938E7
delegado 50: ;3.4;9.4023494E7
delegado 51: ;3.4;9.3642663E7
delegado 52: ;3.4;1.02268649E8
delegado 53: ;3.4;1.01020831E8
delegado 54: ;3.4;1.02418835E8
delegado 55: ;3.4;9.7665034E7
delegado 56: ;3.8;9.9862491E7
delegado 57: ;3.8;1.00435688E8
delegado 58: ;3.8;9.9366094E7
delegado 59: ;3.8;9.9216883E7
delegado 61: ;3.8;9.9865905E7
delegado 60: ;3.8;9.9665249E7
delegado 62: ;0.0;1.00794332E8
delegado 63: ;0.0;9.79342E7
delegado 64: ;0.0;9.0422912E7
delegado 65: ;0.0;8.9887019E7
delegado 66: ;0.0;1.03100284E8
delegado 67: ;0.0;1.03258273E8
delegado 68: ;4.1;1.02432733E8
delegado 69: ;4.1;1.0207799E8
delegado 70: ;4.1;9.9439726E7
delegado 71: ;4.1;1.00082407E8
delegado 72: ;4.1;1.0270263E8
delegado 73: ;4.1;1.04110387E8
delegado 74: ;5.5;1.00455681E8
delegado 75: ;5.5;9.8264807E7
delegado 76: ;5.5;1.00464213E8
delegado 77: ;5.5;9.9957577E7
delegado 78: ;5.5;1.01697646E8
delegado 79: ;5.5;1.00300374E8
delegado 80: ;3.4;9.9787398E7
delegado 81: ;3.4;1.00658042E8
delegado 82: ;3.4;1.02925472E8
delegado 83: ;3.4;1.01109821E8
delegado 84: ;3.4;9.9065234E7
delegado 85: ;3.4;9.8840685E7
delegado 86: ;4.5;1.02828436E8
delegado 87: ;4.5;1.0250295E8
delegado 88: ;4.5;1.00581729E8
delegado 89: ;4.5;9.9045729E7
delegado 90: ;4.5;9.2952925E7
delegado 91: ;4.5;9.4742732E7
delegado 92: ;2.4;1.01576473E8
delegado 93: ;2.4;1.04670906E8
delegado 94: ;2.4;1.00672427E8
delegado 95: ;2.4;9.9289783E7
delegado 96: ;2.4;1.0048762E8
delegado 97: ;2.4;1.0299447E8
delegado 98: ;5.2;9.980739E7
delegado 99: ;5.2;9.9595276E7
delegado 100: ;5.2;1.00689737E8
delegado 101: ;5.2;9.8824349E7
delegado 103: ;5.2;8.7834141E7
delegado 102: ;5.2;1.03483553E8
delegado 105: ;0.0;1.03182204E8
delegado 104: ;0.0;1.03044208E8
delegado 107: ;0.0;1.00763368E8
delegado 106: ;0.0;1.0148285E8
delegado 109: ;0.0;9.845766E7
delegado 108: ;0.0;9.9112533E7
delegado 110: ;0.0;1.00515657E8
delegado 111: ;0.0;9.8960639E7
delegado 113: ;0.0;8.8476824E7
delegado 112: ;0.0;1.03711515E8
delegado 114: ;0.0;1.03024216E8
delegado 115: ;0.0;9.245409E7
delegado 116: ;2.8;1.04498776E8
delegado 117: ;2.8;1.0387633E8
delegado 118: ;2.8;1.02225739E8
delegado 119: ;2.8;1.00815543E8
delegado 120: ;2.8;9.890432E7
delegado 121: ;2.8;1.03013732E8
delegado 122: ;5.1;1.00568321E8
delegado 123: ;5.1;1.01574035E8
delegado 124: ;5.1;9.5474161E7
delegado 125: ;5.1;9.4882923E7
delegado 126: ;5.1;9.9848838E7
delegado 127: ;5.1;1.02171857E8
delegado 128: ;12.5;9.8969417E7
delegado 129: ;12.5;1.02462233E8
delegado 130: ;12.5;1.02098714E8
delegado 131: ;12.5;1.33549186E8
delegado 132: ;12.5;1.02176245E8
delegado 133: ;12.5;1.02472474E8
delegado 134: ;11.7;1.03867309E8
delegado 135: ;11.7;1.01508695E8
delegado 136: ;11.7;1.01873433E8
delegado 137: ;11.7;1.0288305E8
delegado 138: ;11.7;1.0106496E8
delegado 139: ;11.7;1.01916832E8
delegado 140: ;8.7;9.8722681E7
delegado 141: ;8.7;9.7463404E7
delegado 142: ;8.7;8.77176E7
delegado 143: ;8.7;1.02141137E8
delegado 144: ;8.7;9.4473566E7
delegado 145: ;8.7;1.02418592E8
delegado 146: ;13.2;1.02942782E8
delegado 147: ;13.2;1.01219292E8
delegado 148: ;13.2;9.303704E7
delegado 149: ;13.2;1.01730805E8
delegado 150: ;13.2;1.01453593E8
delegado 151: ;13.2;9.8774856E7
delegado 152: ;12.1;9.3706784E7
delegado 153: ;12.1;1.02711164E8
delegado 154: ;12.1;1.02450774E8
delegado 155: ;12.1;1.02989838E8
delegado 156: ;12.1;1.01013517E8
delegado 157: ;12.1;8.9959918E7
delegado 158: ;13.9;9.0202508E7
delegado 159: ;13.9;8.9983079E7
delegado 160: ;13.9;9.202596E7
delegado 161: ;13.9;1.01703742E8
delegado 162: ;13.9;1.0176445E8
delegado 163: ;13.9;1.02034835E8
delegado 164: ;12.1;1.1821112E8
delegado 165: ;12.1;9.710988E7
delegado 166: ;12.1;1.01492847E8
delegado 167: ;12.1;1.02128459E8
delegado 168: ;12.1;1.0177469E8
delegado 169: ;12.1;9.6110505E7
delegado 170: ;13.9;1.01359239E8
delegado 171: ;13.9;1.00144092E8
delegado 172: ;13.9;1.00377417E8
delegado 173: ;13.9;8.749744E7
delegado 174: ;13.9;1.02271575E8
delegado 175: ;13.9;1.01567209E8
delegado 176: ;7.2;1.03172208E8
delegado 177: ;7.2;1.01768596E8
delegado 178: ;7.2;1.02193312E8
delegado 179: ;7.2;1.01440428E8
delegado 180: ;7.2;1.03142219E8
delegado 181: ;7.2;9.951555E7
delegado 182: ;9.7;1.0199802E8
delegado 183: ;9.7;1.01510644E8
delegado 184: ;9.7;1.02658988E8
delegado 185: ;9.7;1.03269488E8
delegado 186: ;9.7;1.02486127E8
delegado 187: ;9.7;1.02348863E8
delegado 188: ;8.3;9.6813164E7
delegado 189: ;8.3;1.01107627E8
delegado 190: ;8.3;1.04139888E8
delegado 191: ;8.3;9.6911907E7
delegado 192: ;8.3;1.00773364E8
delegado 193: ;8.3;1.01542097E8
delegado 194: ;12.5;1.02108953E8
delegado 195: ;12.5;8.8202294E7
delegado 196: ;12.5;1.01566233E8
delegado 197: ;12.5;1.00708754E8
delegado 198: ;12.5;9.916032E7
delegado 199: ;12.5;1.00928915E8
