delegado;memoria;tiempo
delegado 1: ;0.0;2.58941476E8
delegado 0: ;0.0;2.5897439E8
delegado 3: ;0.0;9.5483182E7
delegado 2: ;0.0;9.6421849E7
delegado 5: ;0.0;9.9690117E7
delegado 4: ;0.0;1.01380206E8
delegado 7: ;0.0;9.8533241E7
delegado 6: ;0.0;9.8358917E7
delegado 8: ;0.0;9.5723335E7
delegado 9: ;0.0;9.6313354E7
delegado 10: ;0.0;1.02092131E8
delegado 11: ;0.0;1.01423361E8
delegado 12: ;0.0;9.8234818E7
delegado 13: ;0.0;9.6747092E7
delegado 15: ;0.0;9.6939944E7
delegado 14: ;0.0;9.9547733E7
delegado 17: ;0.0;9.9340007E7
delegado 16: ;0.0;1.00667551E8
delegado 18: ;0.0;9.8999405E7
delegado 19: ;0.0;9.6283365E7
delegado 20: ;0.0;1.02585602E8
delegado 21: ;0.0;1.01613776E8
delegado 22: ;0.0;9.891968E7
delegado 23: ;0.0;9.6993583E7
delegado 25: ;0.0;9.8524464E7
delegado 24: ;0.0;9.9945631E7
delegado 27: ;0.0;9.5091868E7
delegado 26: ;0.0;9.8651245E7
delegado 28: ;0.0;1.01296092E8
delegado 29: ;0.0;1.01346317E8
delegado 30: ;0.0;9.8043428E7
delegado 31: ;0.0;9.6116843E7
delegado 33: ;0.0;9.9360975E7
delegado 32: ;0.0;9.9945875E7
delegado 34: ;0.0;1.02416398E8
delegado 35: ;0.0;1.0044544E8
delegado 36: ;5.6;9.9034758E7
delegado 37: ;5.6;1.04554121E8
delegado 39: ;5.6;9.4898771E7
delegado 38: ;5.6;1.00531505E8
delegado 41: ;5.6;9.720521E7
delegado 40: ;5.6;9.9555047E7
delegado 42: ;0.0;1.00905753E8
delegado 43: ;0.0;1.00086552E8
delegado 45: ;0.0;9.8775831E7
delegado 44: ;0.0;1.01152488E8
delegado 47: ;0.0;9.872195E7
delegado 46: ;0.0;1.01792001E8
delegado 48: ;12.1;8.777392E7
delegado 49: ;12.1;1.00301837E8
delegado 50: ;12.1;9.7337598E7
delegado 51: ;12.1;1.01689844E8
delegado 52: ;12.1;9.1825793E7
delegado 53: ;12.1;9.1357678E7
delegado 54: ;12.8;8.7160252E7
delegado 55: ;12.8;1.024025E8
delegado 56: ;12.8;1.0063488E8
delegado 57: ;12.8;8.7754659E7
delegado 58: ;12.8;9.8692937E7
delegado 59: ;12.8;1.01098363E8
delegado 60: ;7.2;1.02798448E8
delegado 61: ;7.2;9.8396708E7
delegado 62: ;7.2;9.7473156E7
delegado 63: ;7.2;9.9336838E7
delegado 64: ;7.2;9.5034085E7
delegado 65: ;7.2;1.0177274E8
delegado 66: ;9.7;9.9067672E7
delegado 67: ;9.7;1.00111909E8
delegado 68: ;9.7;1.01713007E8
delegado 69: ;9.7;9.8016609E7
delegado 70: ;9.7;9.8978926E7
delegado 71: ;9.7;9.9752534E7
delegado 72: ;23.7;1.00794576E8
delegado 73: ;23.7;9.9179093E7
delegado 74: ;23.7;1.0272945E8
delegado 75: ;23.7;1.01964862E8
delegado 76: ;23.7;9.6580813E7
delegado 77: ;23.7;1.0091965E8
delegado 78: ;5.5;9.8776319E7
delegado 79: ;5.5;9.9761798E7
delegado 80: ;5.5;1.00473966E8
delegado 81: ;5.5;9.9872244E7
delegado 82: ;5.5;1.00826515E8
delegado 83: ;5.5;1.01089829E8
delegado 84: ;4.4;9.9207863E7
delegado 85: ;4.4;1.02622173E8
delegado 86: ;4.4;9.9444845E7
delegado 87: ;4.4;9.762822E7
delegado 88: ;4.4;1.00982796E8
delegado 89: ;4.4;1.02006554E8
delegado 90: ;5.9;9.8635641E7
delegado 91: ;5.9;9.8710979E7
delegado 92: ;5.9;9.7307854E7
delegado 93: ;5.9;9.8012464E7
delegado 94: ;5.9;1.00875277E8
delegado 95: ;5.9;9.9591131E7
delegado 96: ;8.3;9.9109363E7
delegado 97: ;8.3;1.00940618E8
delegado 98: ;8.3;1.01123719E8
delegado 99: ;8.3;1.0204215E8
delegado 100: ;8.3;1.01018637E8
delegado 101: ;8.3;9.9234194E7
delegado 102: ;4.2;9.975619E7
delegado 103: ;4.2;9.9944655E7
delegado 104: ;4.2;9.7696486E7
delegado 105: ;4.2;9.8567131E7
delegado 106: ;4.2;1.00787749E8
delegado 107: ;4.2;1.00402774E8
delegado 108: ;3.1;9.8122422E7
delegado 109: ;3.1;9.7173758E7
delegado 110: ;3.1;9.9549684E7
delegado 111: ;3.1;9.822726E7
delegado 112: ;3.1;1.00482256E8
delegado 113: ;3.1;1.00305738E8
delegado 114: ;3.5;9.8797775E7
delegado 115: ;3.5;9.8838978E7
delegado 116: ;3.5;9.8876282E7
delegado 117: ;3.5;9.7998811E7
delegado 118: ;3.5;9.946947E7
delegado 119: ;3.5;1.00571003E8
delegado 120: ;10.3;9.8391832E7
