;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 0: ;0.0;2,28E+16;delegado 0: ;0.0;2,35E+16;delegado 0: ;0;2.32E+08;delegado 0: ;0.0;2,47E+16;delegado 0: ;0.0;2,49E+16;delegado 0: ;0.0;2,50E+16;delegado 0: ;0.0;2,22E+16;delegado 0: ;0.0;2,47E+16;delegado 0: ;0.0;2,43E+16
delegado 1: ;0.0;9,75E+14;delegado 1: ;0.0;1,01E+16;delegado 1: ;0;9.64E+07;delegado 1: ;17.5;9,92E+14;delegado 1: ;0.0;9,95E+14;delegado 1: ;10.2;9,83E+14;delegado 1: ;0.0;1,01E+16;delegado 1: ;11.0;9,24E+14;delegado 1: ;10.5;1,01E+16
delegado 2: ;7.7;9,55E+14;delegado 2: ;9.1;9,93E+14;delegado 2: ;7.1;9.63E+07;delegado 2: ;17.5;9,93E+14;delegado 2: ;22.8;9,84E+14;delegado 2: ;10.2;9,85E+14;delegado 2: ;10.6;9,35E+14;delegado 2: ;11.0;9,90E+14;delegado 2: ;10.5;1,01E+16
delegado 3: ;7.7;9,65E+14;delegado 3: ;9.1;9,88E+14;delegado 3: ;7.1;9.81E+07;delegado 3: ;17.5;1,01E+14;delegado 3: ;22.8;9,77E+14;delegado 3: ;10.2;1,01E+16;delegado 3: ;10.6;1,01E+16;delegado 3: ;11.0;1,07E+16;delegado 3: ;10.5;9,27E+14
delegado 4: ;4.3;9,54E+14;delegado 4: ;2.2;9,65E+14;delegado 4: ;5.5;1.13E+08;delegado 4: ;6.5;1,02E+14;delegado 4: ;25.7;9,79E+13;delegado 4: ;2.3;9,92E+14;delegado 4: ;12.3;1,04E+16;delegado 4: ;6.5;1,02E+16;delegado 4: ;8.8;1,08E+16
delegado 5: ;4.3;9,68E+14;delegado 5: ;2.2;9,87E+13;delegado 5: ;5.5;9.58E+07;delegado 5: ;6.5;1,03E+16;delegado 5: ;25.7;9,78E+14;delegado 5: ;2.3;9,78E+13;delegado 5: ;12.3;1,05E+16;delegado 5: ;6.5;1,01E+16;delegado 5: ;8.8;1,09E+16
delegado 6: ;4.3;9,60E+14;delegado 6: ;2.2;9,63E+14;delegado 6: ;5.5;9.83E+07;delegado 6: ;6.5;9,79E+14;delegado 6: ;25.7;1,00E+16;delegado 6: ;2.3;1,02E+16;delegado 6: ;12.3;9,62E+14;delegado 6: ;6.5;9,05E+14;delegado 6: ;8.8;1,04E+16
delegado 7: ;0.9;9,27E+14;delegado 7: ;3.4;9,47E+14;delegado 7: ;4.6;9.46E+07;delegado 7: ;5.7;1,02E+16;delegado 7: ;6.2;9,83E+14;delegado 7: ;3.1;9,76E+14;delegado 7: ;5.8;9,35E+14;delegado 7: ;13.8;9,32E+14;delegado 7: ;7.9;1,01E+16
delegado 8: ;0.9;9,17E+14;delegado 8: ;3.4;9,47E+14;delegado 8: ;4.6;9.53E+07;delegado 8: ;5.7;9,76E+14;delegado 8: ;6.2;9,57E+14;delegado 8: ;3.1;9,68E+14;delegado 8: ;5.8;9,08E+14;delegado 8: ;13.8;9,51E+14;delegado 8: ;7.9;1,10E+15
delegado 9: ;0.9;9,11E+14;delegado 9: ;3.4;9,72E+14;delegado 9: ;4.6;9.70E+07;delegado 9: ;5.7;1,03E+16;delegado 9: ;6.2;9,63E+14;delegado 9: ;3.1;9,60E+14;delegado 9: ;5.8;9,36E+14;delegado 9: ;13.8;1,02E+16;delegado 9: ;7.9;1,09E+16
delegado 10: ;1.0;9,41E+14;delegado 10: ;5.2;9,47E+14;delegado 10: ;3.8;9.69E+07;delegado 10: ;4.5;1,01E+15;delegado 10: ;6.9;9,53E+14;delegado 10: ;6.1;9,37E+14;delegado 10: ;1.0;9,36E+14;delegado 10: ;15.2;1,03E+16;delegado 10: ;8.3;1,08E+16
delegado 11: ;1.0;9,39E+14;delegado 11: ;5.2;9,66E+14;delegado 11: ;3.8;9.59E+07;delegado 11: ;4.5;9,39E+14;delegado 11: ;6.9;9,56E+14;delegado 11: ;6.1;9,59E+14;delegado 11: ;1.0;1,05E+16;delegado 11: ;15.2;1,00E+16;delegado 11: ;8.3;1,03E+16
delegado 12: ;1.0;9,15E+14;delegado 12: ;5.2;9,52E+14;delegado 12: ;3.8;9.28E+07;delegado 12: ;4.5;1,05E+15;delegado 12: ;6.9;9,49E+14;delegado 12: ;6.1;9,53E+14;delegado 12: ;1.0;9,91E+14;delegado 12: ;15.2;9,95E+14;delegado 12: ;8.3;1,00E+16
delegado 13: ;2.0;8,97E+14;delegado 13: ;8.0;9,94E+14;delegado 13: ;3.7;9.31E+07;delegado 13: ;9.7;1,01E+16;delegado 13: ;7.6;9,25E+14;delegado 13: ;5.2;9,60E+14;delegado 13: ;3.8;1,02E+16;delegado 13: ;13.8;9,01E+14;delegado 13: ;3.6;9,76E+14
delegado 14: ;2.0;9,25E+14;delegado 14: ;8.0;1,02E+16;delegado 14: ;3.7;9.32E+07;delegado 14: ;9.7;1,02E+16;delegado 14: ;7.6;9,54E+14;delegado 14: ;5.2;9,37E+14;delegado 14: ;3.8;1,06E+16;delegado 14: ;13.8;9,44E+14;delegado 14: ;3.6;1,14E+16
delegado 15: ;2.0;9,31E+14;delegado 15: ;8.0;1,03E+16;delegado 15: ;3.7;9.64E+07;delegado 15: ;9.7;1,02E+16;delegado 15: ;7.6;9,64E+14;delegado 15: ;5.2;9,78E+14;delegado 15: ;3.8;1,07E+16;delegado 15: ;13.8;1,01E+16;delegado 15: ;3.6;1,07E+15
delegado 16: ;2.0;9,17E+13;delegado 16: ;3.3;9,94E+14;delegado 16: ;4.9;9.48E+07;delegado 16: ;6.6;9,82E+14;delegado 16: ;6.6;9,52E+14;delegado 16: ;12.8;9,44E+13;delegado 16: ;2.1;1,06E+16;delegado 16: ;14.5;1,02E+15;delegado 16: ;10.0;1,03E+16
