Delegado;Memoria;Valores;;;
delegado 0: ;0;1,04E+16;;;
delegado 1: ;0;4,34E+15;;;
delegado 2: ;7.1;4,33E+15;;;
delegado 3: ;7.1;4,41E+15;;;
delegado 4: ;5.5;5,09E+15;;;
delegado 5: ;5.5;4,31E+15;;;
delegado 6: ;5.5;4,42E+15;;;
delegado 7: ;4.6;4,26E+15;;;
delegado 8: ;4.6;4,29E+15;;;
delegado 9: ;4.6;4,37E+15;;;
delegado 10: ;3.8;4,36E+15;;;
delegado 11: ;3.8;4,32E+15;;;
delegado 12: ;3.8;4,18E+15;;;
delegado 13: ;3.7;4,19E+15;;;
delegado 14: ;3.7;4,19E+15;;;
delegado 15: ;3.7;4,34E+15;;;
delegado 16: ;4.9;4,27E+15;;;
delegado 17: ;4.9;4,26E+15;;;
delegado 18: ;4.9;4,14E+15;;;
delegado 19: ;4.8;4,15E+15;;;
delegado 20: ;4.8;4,05E+15;;;
delegado 21: ;4.8;4,23E+15;;;
delegado 22: ;3.4;4,29E+15;;;
delegado 23: ;3.4;4,06E+15;;;
delegado 24: ;3.4;4,05E+15;;;
delegado 25: ;24.9;4,10E+15;;;
delegado 26: ;24.9;4,03E+15;;;
delegado 27: ;24.9;4,19E+15;;;
delegado 28: ;6.7;3,97E+15;;;
delegado 29: ;6.7;4,12E+15;;;
delegado 30: ;6.7;4,03E+15;;;
delegado 31: ;3.8;4,11E+15;;;
delegado 32: ;3.8;4,10E+15;;;
delegado 33: ;3.8;4,68E+15;;;
delegado 34: ;6.2;4,68E+15;;;
delegado 35: ;6.2;4,73E+15;;;
delegado 36: ;6.2;4,68E+15;;;
delegado 37: ;3.5;3,98E+15;;;
delegado 38: ;3.5;4,55E+15;;;
delegado 39: ;3.5;4,55E+15;;;
delegado 40: ;3.8;4,68E+15;;;
delegado 41: ;3.8;4,59E+15;;;
delegado 42: ;3.8;4,86E+15;;;
delegado 43: ;10.2;4,55E+15;;;
delegado 44: ;10.2;4,55E+15;;;
delegado 45: ;10.2;4,73E+15;;;
delegado 46: ;5.7;4,59E+15;;;
delegado 47: ;5.7;4,55E+15;;;
delegado 48: ;5.7;4,49E+15;;;
delegado 49: ;10.4;4,50E+15;;;
delegado 50: ;10.4;4,48E+15;;;
delegado 51: ;10.4;4,44E+15;;;
delegado 52: ;11.1;4,55E+15;;;
delegado 53: ;11.1;4,39E+15;;;
delegado 54: ;11.1;4,59E+15;;;
delegado 55: ;6.5;4,48E+15;;;
delegado 56: ;6.5;4,46E+15;;;
delegado 57: ;6.5;4,39E+15;;;
delegado 58: ;10.4;4,37E+15;;;
delegado 59: ;10.4;4,46E+15;;;
delegado 60: ;10.4;4,48E+15;;;
delegado 61: ;5.9;4,49E+15;;;
delegado 62: ;5.9;4,36E+15;;;
delegado 63: ;5.9;4,44E+15;;;
delegado 64: ;6.2;4,24E+15;;;
delegado 65: ;6.2;4,24E+15;;;
delegado 66: ;6.2;4,27E+15;;;
delegado 67: ;5.1;4,14E+15;;;
delegado 68: ;5.1;4,19E+15;;;
delegado 69: ;5.1;4,10E+15;;;
delegado 70: ;6.5;4,07E+15;;;
delegado 71: ;6.5;4,21E+15;;;
delegado 72: ;6.5;4,19E+15;;;
delegado 73: ;0.7;4,20E+15;;;
delegado 74: ;0.7;4,09E+15;;;
delegado 75: ;0.7;4,14E+15;;;
delegado 76: ;3.2;4,17E+15;;;
delegado 77: ;3.2;4,12E+15;;;
delegado 78: ;3.2;4,21E+15;;;
delegado 79: ;4.5;4,08E+15;;;
delegado 80: ;4.5;4,04E+15;;;
delegado 81: ;4.5;4,09E+15;;;
