delegado;maquina;tiempo
delegado 0: ;0.0;2.21651274E8
delegado 1: ;0.0;1.01009859E8
delegado 2: ;10.6;9.3531486E7
delegado 3: ;10.6;1.00872839E8
delegado 4: ;12.3;1.04320795E8
delegado 5: ;12.3;1.04668955E8
delegado 6: ;12.3;9.6152195E7
delegado 7: ;5.8;9.3451516E7
delegado 8: ;5.8;9.0806181E7
delegado 9: ;5.8;9.3612674E7
delegado 10: ;1.0;9.3634129E7
delegado 11: ;1.0;1.04885458E8
delegado 12: ;1.0;9.9142278E7
delegado 13: ;3.8;1.02284497E8
delegado 14: ;3.8;1.05603965E8
delegado 15: ;3.8;1.06550435E8
delegado 16: ;2.1;1.05901901E8
delegado 17: ;2.1;1.01605486E8
delegado 18: ;2.1;9.848838E7
delegado 19: ;3.4;9.8182643E7
delegado 20: ;3.4;9.7753294E7
delegado 21: ;3.4;1.01154926E8
delegado 22: ;3.0;9.7699412E7
delegado 23: ;3.0;1.01864169E8
delegado 24: ;3.0;9.0632101E7
delegado 25: ;5.8;1.01762013E8
delegado 26: ;5.8;9.8144852E7
delegado 27: ;5.8;9.5896439E7
delegado 28: ;4.3;1.01850759E8
delegado 29: ;4.3;9.9550415E7
delegado 30: ;4.3;9.8709272E7
delegado 31: ;4.2;9.6832425E7
delegado 32: ;4.2;1.02372511E8
delegado 33: ;4.2;9.744585E7
delegado 34: ;18.7;9.6140005E7
delegado 35: ;18.7;9.6081979E7
delegado 36: ;18.7;1.00226012E8
delegado 37: ;16.6;1.09588547E8
delegado 38: ;16.6;9.4207325E7
delegado 39: ;16.6;1.02824048E8
delegado 40: ;18.0;1.01536488E8
delegado 41: ;18.0;1.0341431E8
delegado 42: ;18.0;9.9584304E7
delegado 43: ;15.9;8.8485113E7
delegado 44: ;15.9;1.00880884E8
delegado 45: ;15.9;9.9712793E7
delegado 46: ;14.2;9.9958553E7
delegado 47: ;14.2;9.7919572E7
delegado 48: ;14.2;9.1119476E7
delegado 49: ;4.1;9.6647861E7
delegado 50: ;4.1;9.9592107E7
delegado 51: ;4.1;1.01283901E8
delegado 52: ;4.1;9.790665E7
delegado 53: ;4.1;9.9931489E7
delegado 54: ;4.1;1.01042286E8
delegado 55: ;4.1;9.3373497E7
delegado 56: ;4.1;9.8822887E7
delegado 57: ;4.1;9.5280333E7
delegado 58: ;3.3;9.5616302E7
delegado 59: ;3.3;1.04502677E8
delegado 60: ;3.3;9.1068032E7
delegado 61: ;2.3;9.5279114E7
delegado 62: ;2.3;9.6059548E7
delegado 63: ;2.3;9.8021485E7
delegado 64: ;3.0;9.9841036E7
delegado 65: ;3.0;1.05312613E8
delegado 66: ;3.0;9.710671E7
delegado 67: ;3.4;9.9359025E7
delegado 68: ;3.4;1.04696993E8
delegado 69: ;3.4;1.03169038E8
delegado 70: ;1.6;9.2713748E7
delegado 71: ;1.6;9.8566399E7
delegado 72: ;1.6;1.00609768E8
delegado 73: ;2.2;1.00647315E8
delegado 74: ;2.2;9.2900506E7
delegado 75: ;2.2;9.6933362E7
delegado 76: ;4.9;1.01530393E8
delegado 77: ;4.9;9.7723306E7
delegado 78: ;4.9;1.02892802E8
delegado 79: ;2.0;1.02704824E8
delegado 80: ;2.0;1.00217234E8
delegado 81: ;2.0;9.8295527E7
delegado 82: ;2.7;1.01052039E8
delegado 83: ;2.7;9.1556627E7
delegado 84: ;2.7;9.2002555E7
delegado 85: ;0.6;9.9107169E7
delegado 86: ;0.6;1.01023025E8
delegado 87: ;0.6;1.03769053E8
delegado 88: ;12.5;9.4042511E7
delegado 89: ;12.5;1.01604267E8
delegado 90: ;12.5;9.8784852E7
delegado 91: ;14.9;9.8585903E7
delegado 92: ;14.9;9.3324247E7
delegado 93: ;14.9;9.8672456E7
delegado 94: ;2.7;1.00282331E8
delegado 95: ;2.7;1.0141239E8
delegado 96: ;2.7;9.9760823E7
delegado 97: ;25.3;1.01387521E8
delegado 98: ;25.3;1.00213577E8
delegado 99: ;25.3;1.03600337E8
delegado 100: ;4.7;1.00987429E8
delegado 101: ;4.7;1.01342904E8
delegado 102: ;4.7;1.01118599E8
delegado 103: ;3.8;1.05729771E8
delegado 104: ;3.8;9.2222227E7
delegado 105: ;3.8;9.6799023E7
delegado 106: ;3.4;1.01119574E8
delegado 107: ;3.4;1.16285754E8
delegado 108: ;3.4;9.9860054E7
delegado 109: ;5.3;1.00398141E8
delegado 110: ;5.3;9.3561962E7
delegado 111: ;5.3;1.01421167E8
delegado 112: ;4.6;1.0040253E8
delegado 113: ;4.6;9.2826388E7
delegado 114: ;4.6;9.5642146E7
delegado 115: ;3.0;9.6911663E7
delegado 116: ;3.0;1.00304762E8
delegado 117: ;3.0;8.9695872E7
delegado 118: ;0.7;1.00701928E8
delegado 119: ;0.7;1.0302519E8
delegado 120: ;0.7;9.9956114E7
delegado 121: ;4.1;9.950019E7
delegado 122: ;4.1;1.0069315E8
delegado 123: ;4.1;1.00049006E8
delegado 124: ;4.4;9.9754239E7
delegado 125: ;4.4;8.9839963E7
delegado 126: ;4.4;9.2516262E7
delegado 127: ;1.3;9.567628E7
delegado 128: ;1.3;9.9569676E7
delegado 129: ;1.3;9.3338389E7
delegado 130: ;6.2;1.02141868E8
delegado 131: ;6.2;9.2023279E7
delegado 132: ;6.2;9.4153444E7
delegado 133: ;3.4;1.01900009E8
delegado 134: ;3.4;1.00620008E8
delegado 135: ;3.4;9.9405592E7
delegado 136: ;4.5;9.5711632E7
delegado 137: ;4.5;9.7038444E7
delegado 138: ;4.5;9.9638918E7
delegado 139: ;3.7;1.02418592E8
delegado 140: ;3.7;9.814534E7
delegado 141: ;3.7;9.85959E7
delegado 142: ;3.6;1.00417889E8
delegado 143: ;3.6;1.01933899E8
delegado 144: ;3.6;9.7448288E7
delegado 145: ;2.1;9.8888472E7
delegado 146: ;2.1;1.01123718E8
delegado 147: ;2.1;9.5535602E7
delegado 148: ;1.3;9.436946E7
delegado 149: ;1.3;1.00722652E8
delegado 150: ;1.3;1.04693824E8
delegado 151: ;6.0;9.9727421E7
delegado 152: ;6.0;9.6337735E7
delegado 153: ;6.0;9.4568408E7
delegado 154: ;3.7;9.8628571E7
delegado 155: ;3.7;9.9309531E7
delegado 156: ;3.7;9.0983674E7
delegado 157: ;2.7;9.1271614E7
delegado 158: ;2.7;8.8652122E7
delegado 159: ;2.7;8.9582744E7
delegado 160: ;4.2;8.9198012E7
delegado 161: ;4.2;9.0745229E7
delegado 162: ;4.2;8.356284E7
delegado 163: ;13.4;1.02215011E8
delegado 164: ;13.4;1.02448336E8
delegado 165: ;13.4;9.0135217E7
delegado 166: ;3.0;1.05207287E8
delegado 167: ;3.0;1.0599211E8
delegado 168: ;3.0;9.3226723E7
delegado 169: ;0.7;9.1703401E7
delegado 170: ;0.7;1.02125533E8
delegado 171: ;0.7;1.03232185E8
delegado 172: ;18.1;1.06936872E8
delegado 173: ;18.1;8.9054165E7
delegado 174: ;18.1;9.0596504E7
delegado 175: ;16.3;8.9825091E7
delegado 176: ;16.3;9.0174714E7
delegado 177: ;16.3;9.1507378E7
delegado 178: ;3.0;1.01160047E8
delegado 179: ;3.0;1.02370561E8
delegado 180: ;3.0;9.7715747E7
delegado 181: ;3.5;1.01264885E8
delegado 182: ;3.5;9.8288943E7
delegado 183: ;3.5;9.8873843E7
delegado 184: ;4.8;1.03132954E8
delegado 185: ;4.8;9.2179561E7
delegado 186: ;4.8;1.00503954E8
delegado 187: ;5.2;9.6669316E7
delegado 188: ;5.2;1.03138319E8
delegado 189: ;5.2;9.2091301E7
delegado 190: ;3.8;9.6899716E7
delegado 191: ;3.8;1.00802133E8
delegado 192: ;3.8;9.1737046E7
delegado 193: ;3.8;8.9425243E7
delegado 194: ;3.8;9.1892597E7
delegado 195: ;3.8;8.8690644E7
delegado 196: ;1.2;8.9564946E7
delegado 197: ;1.2;1.03893397E8
delegado 198: ;1.2;1.05241665E8
delegado 199: ;2.2;9.9869318E7
delegado 200: ;2.2;1.003072E8
delegado 201: ;2.2;1.00905753E8
delegado 202: ;2.7;1.01940969E8
delegado 203: ;2.7;1.00546377E8
delegado 204: ;2.7;1.02155034E8
delegado 205: ;4.4;9.8003199E7
delegado 206: ;4.4;9.8358186E7
delegado 207: ;4.4;9.923907E7
delegado 208: ;6.1;9.6897765E7
delegado 209: ;6.1;9.732809E7
delegado 210: ;6.1;9.7491686E7
delegado 211: ;21.9;9.4978496E7
delegado 212: ;21.9;9.5168911E7
