delegado;Memoria;Tiempo
delegado 0: ;0,0;6,02E+15
delegado 1: ;0,0;1,45E+16
delegado 2: ;6,5;3,98E+15
delegado 3: ;11,8;4,9439E+15
delegado 4: ;8,5;3,89418E+15
delegado 5: ;8,2;6,02E+15
delegado 6: ;8,2;5,11E+15
delegado 7: ;9,2;5,02E+15
delegado 8: ;5,7;2,92E+15
delegado 9: ;5,7;3,97883E+15
delegado 10: ;6,3;4,07E+15
delegado 11: ;5,8;4,02E+15
delegado 12: ;5,8;4,03E+15
delegado 13: ;6,4;3,91E+15
delegado 14: ;6,4;4,96E+15
delegado 15: ;6,4;7,19E+15
delegado 16: ;6,4;2,92712E+15
delegado 17: ;7,0;4,94E+15
delegado 18: ;7,0;6,02E+15
delegado 19: ;5,9;3,82E+15
delegado 20: ;6,0;2,94E+15
delegado 21: ;6,0;4,98242E+15
delegado 22: ;6,1;4,98E+15
delegado 23: ;5,9;3,85E+15
delegado 24: ;5,9;4,81806E+15
delegado 25: ;7,2;1,75E+15
delegado 26: ;12,0;4,71736E+15
delegado 27: ;12,0;2,76962E+15
delegado 28: ;10,2;2,72415E+15
delegado 29: ;5,4;3,82773E+15
delegado 30: ;5,4;1,85651E+15
delegado 31: ;4,1;1,56041E+15
delegado 32: ;3,7;2,86E+15
delegado 33: ;3,7;3,74E+15
delegado 34: ;3,8;3,98E+15
delegado 35: ;5,9;5,06E+15
delegado 36: ;5,9;5,05583E+15
delegado 37: ;6,3;4,09E+15
delegado 38: ;6,0;8,13893E+15
delegado 39: ;6,0;5,07E+15
delegado 40: ;6,1;6,3171E+15
delegado 41: ;5,8;4,96285E+15
delegado 42: ;5,8;5,04278E+15
delegado 43: ;5,7;5,3142E+15
delegado 44: ;6,5;5,1527E+15
delegado 45: ;6,5;5,26197E+15
delegado 46: ;6,5;5,07E+15
delegado 47: ;10,1;2,96E+15
delegado 48: ;10,1;5,06E+15
delegado 49: ;10,0;4,03657E+15
delegado 50: ;6,4;5,03E+15
delegado 51: ;6,4;4,02E+15
delegado 52: ;6,5;3,7974E+15
delegado 53: ;6,1;2,9255E+15
delegado 54: ;6,1;4,00332E+15
delegado 55: ;6,3;6,13538E+15
delegado 56: ;6,7;3,94E+15
delegado 57: ;6,7;4,08E+15
delegado 58: ;6,6;5,01648E+15
delegado 59: ;7,4;5,18E+15
delegado 60: ;7,4;5,04137E+15
delegado 61: ;8,3;2,89E+15
delegado 62: ;5,8;4,07518E+15
delegado 63: ;5,8;3,82343E+15
delegado 64: ;5,5;2,92E+15
delegado 65: ;5,8;4,86745E+15
delegado 66: ;5,8;6,02E+15
delegado 67: ;5,4;5,04E+15
delegado 68: ;5,4;4,10E+15
delegado 69: ;5,4;3,89275E+15
delegado 70: ;5,4;3,94E+15
delegado 71: ;5,8;4,16012E+15
delegado 72: ;5,8;2,98061E+15
delegado 73: ;5,4;5,02E+15
delegado 74: ;4,1;3,95793E+15
delegado 75: ;4,1;2,90737E+15
delegado 76: ;4,6;3,95685E+15
delegado 77: ;5,1;6,03857E+15
delegado 78: ;5,1;4,87437E+15
delegado 79: ;4,4;6,04866E+15
delegado 80: ;4,7;4,84965E+15
delegado 81: ;4,7;3,89E+15
delegado 82: ;5,4;2,88249E+15
delegado 83: ;5,3;3,89E+15
delegado 84: ;5,3;2,84817E+15
delegado 85: ;5,7;2,84E+15
delegado 86: ;6,0;2,74634E+15
delegado 87: ;6,0;4,03089E+15
delegado 88: ;6,5;4,05E+15
