delegado;memoria;tiempo
delegado 0: ;0.0;2.42821756E8
delegado 1: ;0.0;2.42701557E8
delegado 2: ;0.0;1.03024458E8
delegado 3: ;15.5;1.01732755E8
delegado 4: ;15.5;1.03181716E8
delegado 5: ;15.5;1.03411873E8
delegado 6: ;15.5;9.9797638E7
delegado 7: ;15.5;9.9590156E7
delegado 8: ;6.1;1.02053852E8
delegado 9: ;6.1;1.00906485E8
delegado 10: ;6.1;1.02259141E8
delegado 11: ;6.1;1.02689708E8
delegado 12: ;6.1;9.9193234E7
delegado 13: ;6.1;9.9550415E7
delegado 14: ;7.0;1.0000512E8
delegado 15: ;7.0;1.00301593E8
delegado 17: ;7.0;9.8502277E7
delegado 16: ;7.0;9.8603946E7
delegado 19: ;7.0;1.00473723E8
delegado 18: ;7.0;1.00275993E8
delegado 20: ;3.4;9.8481797E7
delegado 21: ;3.4;9.9811535E7
delegado 22: ;3.4;9.9546514E7
delegado 23: ;3.4;9.8439618E7
delegado 24: ;3.4;9.6231677E7
delegado 25: ;3.4;9.6537415E7
delegado 26: ;4.4;9.5870108E7
delegado 27: ;4.4;9.5572173E7
delegado 28: ;4.4;9.5728943E7
delegado 29: ;4.4;9.622729E7
delegado 30: ;4.4;9.727055E7
delegado 31: ;4.4;9.7163762E7
delegado 32: ;1.8;9.9606979E7
delegado 33: ;1.8;9.4715913E7
delegado 34: ;1.8;9.4186846E7
delegado 35: ;1.8;9.3396415E7
delegado 36: ;1.8;9.3754328E7
delegado 37: ;1.8;9.2923424E7
delegado 38: ;4.1;9.3432986E7
delegado 39: ;4.1;9.5450268E7
delegado 40: ;4.1;9.583378E7
delegado 41: ;4.1;9.5982261E7
delegado 42: ;4.1;9.7169614E7
delegado 43: ;4.1;9.6086855E7
delegado 44: ;1.4;9.3109939E7
delegado 45: ;1.4;8.9362097E7
delegado 46: ;1.4;9.1621724E7
delegado 47: ;1.4;9.1174578E7
delegado 48: ;1.4;9.1828719E7
delegado 49: ;1.1;9.0606501E7
delegado 50: ;1.1;9.217566E7
delegado 51: ;1.1;9.3044841E7
delegado 52: ;1.1;9.0903949E7
delegado 53: ;1.1;9.1630502E7
delegado 54: ;1.1;9.1661465E7
delegado 55: ;3.9;1.0387121E8
delegado 56: ;3.9;1.05133412E8
delegado 57: ;3.9;1.07096081E8
delegado 58: ;3.9;8.9812169E7
delegado 59: ;3.9;1.05927745E8
delegado 60: ;3.9;1.05429154E8
delegado 61: ;2.3;8.7728084E7
delegado 62: ;2.3;1.04893992E8
delegado 63: ;2.3;1.03913632E8
delegado 64: ;2.3;1.03071515E8
delegado 65: ;2.3;1.0225402E8
delegado 66: ;2.3;1.03066882E8
delegado 67: ;5.2;9.9527497E7
delegado 68: ;5.2;1.02139186E8
delegado 69: ;5.2;1.02066043E8
delegado 70: ;5.2;9.9753021E7
delegado 71: ;5.2;1.01252206E8
delegado 72: ;5.2;1.02368854E8
delegado 73: ;7.6;1.02259628E8
delegado 74: ;7.6;9.8097797E7
delegado 75: ;7.6;9.9899307E7
delegado 76: ;7.6;9.7946147E7
delegado 77: ;7.6;9.7851062E7
delegado 78: ;6.2;9.796614E7
delegado 79: ;6.2;9.9668419E7
delegado 80: ;6.2;1.00027307E8
delegado 81: ;6.2;1.00229425E8
delegado 82: ;6.2;9.8754377E7
delegado 83: ;5.9;1.00393997E8
delegado 84: ;5.9;1.0078653E8
delegado 85: ;5.9;9.9771551E7
delegado 86: ;5.9;9.8654658E7
delegado 87: ;5.9;9.8354041E7
