delegado;memoria;tiempo
delegado 1: ;0.0;2.6642497E8
delegado 0: ;0.0;2.66389861E8
delegado 3: ;14.7;1.02532451E8
delegado 2: ;14.7;1.04515843E8
delegado 5: ;14.7;1.00454217E8
delegado 4: ;14.7;1.00302081E8
delegado 6: ;14.7;1.04356635E8
delegado 7: ;14.7;1.02387384E8
delegado 8: ;0.0;1.02935956E8
delegado 9: ;0.0;1.00501029E8
delegado 11: ;0.0;9.5699685E7
delegado 10: ;0.0;9.744073E7
delegado 12: ;0.0;1.02087742E8
delegado 13: ;0.0;1.00670233E8
delegado 14: ;0.0;1.04055774E8
delegado 15: ;0.0;1.02119925E8
delegado 17: ;0.0;9.9717912E7
delegado 16: ;0.0;1.01191254E8
delegado 19: ;0.0;1.01820771E8
delegado 18: ;0.0;1.01769814E8
delegado 20: ;4.1;1.0090429E8
delegado 21: ;4.1;9.8778514E7
delegado 22: ;4.1;1.04674075E8
delegado 23: ;4.1;1.02830143E8
delegado 25: ;4.1;9.7531427E7
delegado 24: ;4.1;9.8953325E7
delegado 27: ;0.0;9.8321127E7
delegado 26: ;0.0;9.9582111E7
delegado 29: ;0.0;1.0066048E8
delegado 28: ;0.0;1.00915749E8
delegado 31: ;0.0;9.6733438E7
delegado 30: ;0.0;9.794761E7
delegado 33: ;5.9;9.8669775E7
delegado 32: ;5.9;1.02005578E8
delegado 35: ;5.9;9.8800213E7
delegado 34: ;5.9;9.9319771E7
delegado 36: ;5.9;1.00689738E8
delegado 37: ;5.9;1.00026575E8
delegado 39: ;0.0;9.805635E7
delegado 38: ;0.0;9.9808366E7
delegado 40: ;0.0;1.01677898E8
delegado 41: ;0.0;9.9698164E7
delegado 43: ;0.0;9.8221408E7
delegado 42: ;0.0;9.9024273E7
delegado 44: ;3.1;9.2944636E7
delegado 45: ;3.1;9.9548953E7
delegado 47: ;3.1;9.996928E7
delegado 46: ;3.1;1.02093107E8
delegado 48: ;3.1;9.7842772E7
delegado 49: ;3.1;9.5951296E7
delegado 51: ;0.0;9.935683E7
delegado 50: ;0.0;1.01549898E8
delegado 52: ;0.0;1.03462097E8
delegado 53: ;0.0;1.02618272E8
delegado 55: ;0.0;9.7706482E7
delegado 54: ;0.0;9.8084875E7
delegado 57: ;0.0;9.9700114E7
delegado 56: ;0.0;1.00970606E8
delegado 58: ;0.0;1.01793952E8
delegado 59: ;0.0;1.01064229E8
delegado 60: ;0.0;9.909254E7
delegado 61: ;0.0;9.856518E7
delegado 62: ;0.0;1.00112396E8
delegado 63: ;0.0;9.8365256E7
delegado 64: ;0.0;1.00160914E8
delegado 65: ;0.0;9.9103756E7
delegado 67: ;0.0;9.8154361E7
delegado 66: ;0.0;9.96928E7
delegado 68: ;0.0;1.02800885E8
delegado 69: ;0.0;1.014041E8
delegado 70: ;0.0;1.02599743E8
delegado 71: ;0.0;9.947776E7
delegado 73: ;0.0;9.9513356E7
delegado 72: ;0.0;1.01128351E8
delegado 75: ;0.0;9.721228E7
delegado 74: ;0.0;9.9429241E7
delegado 76: ;0.0;1.03928017E8
delegado 77: ;0.0;9.7717454E7
delegado 78: ;0.0;1.02253045E8
delegado 79: ;0.0;9.7791816E7
