delegado;memoria;tiempo
delegado 0: ;0.0;2.73076829E8
delegado 1: ;14.7;9.1070958E7
delegado 2: ;14.7;1.04859127E8
delegado 3: ;14.7;1.06583105E8
delegado 4: ;4.4;1.02465891E8
delegado 5: ;4.4;1.04891797E8
delegado 6: ;4.4;1.05066365E8
delegado 7: ;3.5;1.02806493E8
delegado 8: ;3.5;1.04185237E8
delegado 9: ;3.5;1.30966754E8
delegado 10: ;5.1;1.01862218E8
delegado 11: ;5.1;1.04343713E8
delegado 12: ;5.1;9.2219789E7
delegado 13: ;6.4;9.5284965E7
delegado 14: ;6.4;9.0239567E7
delegado 15: ;6.4;9.4177825E7
delegado 16: ;3.0;9.2296102E7
delegado 17: ;3.0;9.266913E7
delegado 18: ;3.0;9.1154828E7
delegado 19: ;2.2;8.9360878E7
delegado 20: ;2.2;9.3095554E7
delegado 21: ;2.2;9.3619257E7
delegado 22: ;3.1;9.1346951E7
delegado 23: ;3.1;8.8380518E7
delegado 24: ;3.1;9.086884E7
delegado 25: ;3.8;9.1422532E7
delegado 26: ;3.8;9.0936863E7
delegado 27: ;3.8;8.8742088E7
delegado 28: ;2.6;1.04566312E8
delegado 29: ;2.6;1.01883917E8
delegado 30: ;2.6;1.05278236E8
delegado 31: ;13.2;9.065697E7
delegado 32: ;13.2;1.01209783E8
delegado 33: ;13.2;1.00662675E8
delegado 34: ;7.3;1.02590478E8
delegado 35: ;7.3;1.01644497E8
delegado 36: ;7.3;1.0277431E8
delegado 37: ;10.5;1.02767727E8
delegado 38: ;10.5;8.9669541E7
delegado 39: ;10.5;9.0722798E7
delegado 40: ;6.0;8.9982104E7
delegado 41: ;6.0;8.8808405E7
delegado 42: ;6.0;8.9939681E7
delegado 43: ;13.1;1.04325428E8
delegado 44: ;13.1;1.02870372E8
delegado 45: ;13.1;1.03699324E8
delegado 46: ;5.3;1.02634607E8
delegado 47: ;5.3;1.04329572E8
delegado 48: ;5.3;1.02471743E8
delegado 49: ;1.2;1.02711407E8
delegado 50: ;1.2;1.04124041E8
delegado 51: ;1.2;1.02502706E8
delegado 52: ;3.2;1.03302402E8
delegado 53: ;3.2;1.00670964E8
delegado 54: ;3.2;1.03392368E8
delegado 55: ;4.3;1.01327787E8
delegado 56: ;4.3;1.0269239E8
delegado 57: ;4.3;1.00161158E8
delegado 58: ;4.5;1.00101425E8
delegado 59: ;4.5;9.7754756E7
delegado 60: ;4.5;9.8181667E7
delegado 61: ;2.7;1.00608305E8
delegado 62: ;2.7;1.00516876E8
delegado 63: ;2.7;9.8651489E7
delegado 64: ;2.2;9.4606199E7
delegado 65: ;2.2;9.0319049E7
delegado 66: ;2.2;9.2337062E7
delegado 67: ;14.1;9.2027423E7
delegado 68: ;14.1;9.3124811E7
delegado 69: ;14.1;9.0852018E7
delegado 70: ;10.7;9.0593091E7
delegado 71: ;10.7;9.3222822E7
delegado 72: ;10.7;9.1184086E7
delegado 73: ;4.0;9.3896469E7
delegado 74: ;4.0;9.3605116E7
delegado 75: ;4.0;8.9022713E7
delegado 76: ;6.6;9.1591005E7
delegado 77: ;6.6;8.9205815E7
delegado 78: ;6.6;9.2096666E7
delegado 79: ;8.6;8.9066599E7
delegado 80: ;8.6;8.7767825E7
delegado 81: ;8.6;1.03485016E8
delegado 82: ;6.4;1.03362623E8
delegado 83: ;6.4;9.047265E7
delegado 84: ;6.4;1.05289938E8
delegado 85: ;5.9;1.01231238E8
delegado 86: ;5.9;1.04189138E8
delegado 87: ;5.9;1.04145496E8
delegado 88: ;2.2;1.03811964E8
delegado 89: ;2.2;1.02631681E8
delegado 90: ;2.2;1.00157501E8
delegado 91: ;1.6;1.02638265E8
delegado 92: ;1.6;1.02498318E8
delegado 93: ;1.6;1.02401769E8
delegado 94: ;6.0;1.0243127E8
delegado 95: ;6.0;1.13456587E8
delegado 96: ;6.0;9.8817279E7
delegado 97: ;10.8;9.8678308E7
delegado 98: ;10.8;1.0108861E8
delegado 99: ;10.8;9.9685485E7
delegado 100: ;4.3;9.7716235E7
delegado 101: ;4.3;9.6899229E7
delegado 102: ;4.3;9.6929461E7
delegado 103: ;6.2;9.7668692E7
delegado 104: ;6.2;9.6375526E7
delegado 105: ;6.2;9.4853422E7
delegado 106: ;4.9;9.5510732E7
delegado 107: ;4.9;9.4192697E7
delegado 108: ;4.9;9.3609505E7
delegado 109: ;2.0;9.5117467E7
delegado 110: ;2.0;9.430485E7
delegado 111: ;2.0;9.0627469E7
delegado 112: ;3.0;9.0716459E7
delegado 113: ;3.0;1.05578853E8
delegado 114: ;3.0;9.2363881E7
delegado 115: ;3.9;9.199841E7
delegado 116: ;3.9;1.03413336E8
delegado 117: ;3.9;9.0048177E7
delegado 118: ;2.0;8.8693327E7
delegado 119: ;2.0;8.9979422E7
delegado 120: ;2.0;1.05825344E8
delegado 121: ;2.8;1.04008231E8
delegado 122: ;2.8;1.03161237E8
delegado 123: ;2.8;1.00403017E8
delegado 124: ;3.5;1.03209998E8
delegado 125: ;3.5;1.02621685E8
delegado 126: ;3.5;1.01826378E8
delegado 127: ;3.9;1.00900632E8
delegado 128: ;3.9;1.02556345E8
delegado 129: ;3.9;1.01484069E8
delegado 130: ;2.5;1.01924389E8
delegado 131: ;2.5;9.9710354E7
delegado 132: ;2.5;9.1921122E7
delegado 133: ;2.3;9.3481748E7
delegado 134: ;2.3;9.0986356E7
delegado 135: ;2.3;9.370459E7
delegado 136: ;2.3;9.2178585E7
delegado 137: ;2.3;9.0715728E7
delegado 138: ;2.3;8.8748184E7
delegado 139: ;7.6;8.8687232E7
delegado 140: ;7.6;8.9732687E7
delegado 141: ;7.6;8.8638469E7
delegado 142: ;9.3;8.9064161E7
delegado 143: ;9.3;9.3035577E7
delegado 144: ;9.3;9.1713884E7
delegado 145: ;3.4;9.3035089E7
