delegado;memoria;tiempo
delegado 0: ;0.0;2.7327139E8
delegado 1: ;0.0;8.9411346E7
delegado 2: ;0.0;9.8634179E7
delegado 3: ;2.2;9.9463618E7
delegado 4: ;2.2;1.00419109E8
delegado 5: ;2.2;9.8069272E7
delegado 6: ;3.8;9.9498727E7
delegado 7: ;3.8;9.7603107E7
delegado 8: ;3.8;9.8218726E7
delegado 9: ;4.8;1.00160914E8
delegado 10: ;4.8;1.01221243E8
delegado 11: ;4.8;9.8278704E7
delegado 12: ;3.8;1.00050225E8
delegado 13: ;3.8;1.00408869E8
delegado 14: ;3.8;1.01981685E8
delegado 15: ;7.6;1.01062278E8
delegado 16: ;7.6;1.01366553E8
delegado 17: ;7.6;1.01671803E8
delegado 18: ;2.1;9.8969904E7
delegado 19: ;2.1;9.998269E7
delegado 20: ;2.1;9.8813622E7
delegado 21: ;7.3;1.02181853E8
delegado 22: ;7.3;9.8885058E7
delegado 23: ;7.3;9.9950506E7
delegado 24: ;5.5;9.8865066E7
delegado 25: ;5.5;9.0964902E7
delegado 26: ;5.5;9.7683564E7
delegado 27: ;2.6;1.00630736E8
delegado 28: ;2.6;9.7351984E7
delegado 29: ;2.6;9.7884463E7
delegado 30: ;2.7;9.8899443E7
delegado 31: ;2.7;9.939267E7
delegado 32: ;2.7;1.00442515E8
delegado 33: ;4.9;9.8932114E7
delegado 34: ;4.9;9.8790948E7
delegado 35: ;4.9;9.8877257E7
delegado 36: ;4.8;9.8766811E7
delegado 37: ;4.8;1.01277806E8
delegado 38: ;4.8;9.717839E7
delegado 39: ;5.0;9.5729917E7
delegado 40: ;5.0;9.9068891E7
delegado 41: ;5.0;9.0432177E7
delegado 42: ;1.7;1.01490409E8
delegado 43: ;1.7;9.8756327E7
delegado 44: ;1.7;1.01316572E8
delegado 45: ;2.0;9.9979763E7
delegado 46: ;2.0;1.02154302E8
delegado 47: ;2.0;9.8596144E7
delegado 48: ;3.2;1.01416047E8
delegado 49: ;3.2;9.8161188E7
delegado 50: ;3.2;9.9308068E7
delegado 51: ;11.4;9.9718156E7
delegado 52: ;11.4;1.00673159E8
delegado 53: ;11.4;1.00574659E8
delegado 54: ;14.9;1.02406158E8
delegado 55: ;14.9;9.4225612E7
delegado 56: ;14.9;9.937414E7
delegado 57: ;2.0;1.01223437E8
delegado 58: ;2.0;9.814534E7
delegado 59: ;2.0;9.523986E7
delegado 60: ;2.1;9.9627459E7
delegado 61: ;2.1;9.8907976E7
delegado 62: ;2.1;9.8573713E7
delegado 63: ;3.7;9.7176441E7
delegado 64: ;3.7;9.1329153E7
delegado 65: ;3.7;9.2605009E7
delegado 66: ;1.8;1.00093866E8
delegado 67: ;1.8;9.9006232E7
delegado 68: ;1.8;9.753996E7
delegado 69: ;3.1;1.00645608E8
delegado 70: ;3.1;9.4932659E7
delegado 71: ;3.1;9.91079E7
delegado 72: ;2.0;9.7068189E7
delegado 73: ;2.0;9.9655009E7
delegado 74: ;2.0;1.00260876E8
delegado 75: ;1.0;1.00666088E8
delegado 76: ;1.0;9.9951482E7
delegado 77: ;1.0;9.9318308E7
delegado 78: ;2.4;1.00043155E8
delegado 79: ;2.4;9.8815816E7
delegado 80: ;2.4;1.0118394E8
delegado 81: ;1.4;1.00706073E8
delegado 82: ;1.4;9.749705E7
delegado 83: ;1.4;1.00251368E8
delegado 84: ;3.7;9.9672807E7
delegado 85: ;3.7;8.8922751E7
delegado 86: ;3.7;9.9567238E7
